date,jersey_number,players,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
23-Oct-20,1,Titgyeth Kwajakwan,8,8,3,8,37.5,3,6,50,0,2,0,2,3,66.7,2,0,2,3,0,0,1,1,4,6,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,2,Nyang Wek,14,1,0,6,0,0,5,0,0,1,0,1,2,50,6,2,8,1,0,1,1,4,-1,3,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,3,Bol Bak,18,2,1,3,33.3,1,2,50,0,1,0,0,0,0,0,2,2,4,0,0,5,1,-13,1,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,4,Mangistu Jongkor,6,6,2,3,66.7,1,2,50,1,1,100,1,2,50,0,0,0,0,0,0,1,1,-7,3,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,6,Deng Acuoth,21,5,2,6,33.3,2,5,40,0,1,0,1,1,100,5,0,5,1,0,1,2,5,-2,6,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,7,Chier Chier,21,10,4,12,33.3,3,3,100,1,9,11.1,1,1,100,2,3,5,3,0,0,1,1,0,9,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,8,Kuany Ngor Kuany,26,19,6,12,50,3,4,75,3,8,37.5,4,6,66.7,0,4,4,2,1,0,4,5,-2,14,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,9,Mathiang Mauot Muo,25,6,2,5,40,0,1,0,2,4,50,0,0,0,1,0,1,2,1,0,0,2,4,7,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,10,Makuei Puondak,14,5,1,3,33.3,1,3,33.3,0,0,0,3,4,75,3,1,4,0,0,1,1,0,-10,6,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
23-Oct-20,11,Emmanuel Malou,29,14,4,10,40,2,4,50,2,6,33.3,4,4,100,0,10,10,1,0,1,0,4,-3,20,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
